Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,-45001,
Trigger Level,0.000E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+01,
Vertical Position,8.000E-01,
Horizontal Units,S,
Horizontal Scale,1.000E-04,
Horizontal Position,5.000E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-07,
Horizontal Old Scale,1.000E-04,
Horizontal Old Position,5.000E-03,
Firmware,V1.24,
Mode,Detail,
Waveform Data,
4.534600e-03,9.60e+00,
4.534700e-03,9.60e+00,
4.534800e-03,9.60e+00,
4.534900e-03,9.60e+00,
4.535000e-03,9.60e+00,
4.535100e-03,9.60e+00,
4.535200e-03,9.60e+00,
4.535300e-03,9.60e+00,
4.535400e-03,9.60e+00,
4.535500e-03,9.60e+00,
4.535600e-03,9.60e+00,
4.535700e-03,9.60e+00,
4.535800e-03,9.60e+00,
4.535900e-03,9.60e+00,
4.536000e-03,9.60e+00,
4.536100e-03,9.60e+00,
4.536200e-03,9.60e+00,
4.536300e-03,9.60e+00,
4.536400e-03,9.60e+00,
4.536500e-03,9.60e+00,
4.536600e-03,9.60e+00,
4.536700e-03,9.60e+00,
4.536800e-03,9.60e+00,
4.536900e-03,9.60e+00,
4.537000e-03,9.60e+00,
4.537100e-03,9.60e+00,
4.537200e-03,9.60e+00,
4.537300e-03,9.60e+00,
4.537400e-03,9.60e+00,
4.537500e-03,9.60e+00,
4.537600e-03,9.60e+00,
4.537700e-03,9.60e+00,
4.537800e-03,9.60e+00,
4.537900e-03,9.60e+00,
4.538000e-03,9.60e+00,
4.538100e-03,9.60e+00,
4.538200e-03,9.60e+00,
4.538300e-03,9.60e+00,
4.538400e-03,9.60e+00,
4.538500e-03,9.60e+00,
4.538600e-03,9.60e+00,
4.538700e-03,9.60e+00,
4.538800e-03,9.60e+00,
4.538900e-03,9.60e+00,
4.539000e-03,9.60e+00,
4.539100e-03,9.60e+00,
4.539200e-03,9.60e+00,
4.539300e-03,9.60e+00,
4.539400e-03,9.60e+00,
4.539500e-03,9.60e+00,
4.539600e-03,9.60e+00,
4.539700e-03,9.60e+00,
4.539800e-03,9.60e+00,
4.539900e-03,9.60e+00,
4.540000e-03,9.60e+00,
4.540100e-03,9.60e+00,
4.540200e-03,9.60e+00,
4.540300e-03,9.60e+00,
4.540400e-03,9.60e+00,
4.540500e-03,9.60e+00,
4.540600e-03,9.60e+00,
4.540700e-03,9.60e+00,
4.540800e-03,9.60e+00,
4.540900e-03,9.60e+00,
4.541000e-03,9.60e+00,
4.541100e-03,9.60e+00,
4.541200e-03,9.60e+00,
4.541300e-03,9.60e+00,
4.541400e-03,9.60e+00,
4.541500e-03,9.60e+00,
4.541600e-03,9.60e+00,
4.541700e-03,9.60e+00,
4.541800e-03,9.60e+00,
4.541900e-03,9.60e+00,
4.542000e-03,9.60e+00,
4.542100e-03,9.60e+00,
4.542200e-03,9.60e+00,
4.542300e-03,9.60e+00,
4.542400e-03,9.60e+00,
4.542500e-03,9.60e+00,
4.542600e-03,9.60e+00,
4.542700e-03,9.60e+00,
4.542800e-03,9.60e+00,
4.542900e-03,9.60e+00,
4.543000e-03,9.60e+00,
4.543100e-03,9.60e+00,
4.543200e-03,9.60e+00,
4.543300e-03,9.60e+00,
4.543400e-03,9.60e+00,
4.543500e-03,9.60e+00,
4.543600e-03,9.60e+00,
4.543700e-03,9.60e+00,
4.543800e-03,9.60e+00,
4.543900e-03,9.60e+00,
4.544000e-03,9.60e+00,
4.544100e-03,9.60e+00,
4.544200e-03,9.60e+00,
4.544300e-03,9.60e+00,
4.544400e-03,9.60e+00,
4.544500e-03,9.60e+00,
4.544600e-03,9.60e+00,
4.544700e-03,9.60e+00,
4.544800e-03,9.60e+00,
4.544900e-03,9.60e+00,
4.545000e-03,9.60e+00,
4.545100e-03,9.60e+00,
4.545200e-03,9.60e+00,
4.545300e-03,9.60e+00,
4.545400e-03,9.60e+00,
4.545500e-03,9.60e+00,
4.545600e-03,9.60e+00,
4.545700e-03,9.60e+00,
4.545800e-03,9.60e+00,
4.545900e-03,9.60e+00,
4.546000e-03,9.60e+00,
4.546100e-03,9.60e+00,
4.546200e-03,9.60e+00,
4.546300e-03,9.60e+00,
4.546400e-03,9.60e+00,
4.546500e-03,9.60e+00,
4.546600e-03,9.60e+00,
4.546700e-03,9.60e+00,
4.546800e-03,9.60e+00,
4.546900e-03,9.60e+00,
4.547000e-03,9.60e+00,
4.547100e-03,9.60e+00,
4.547200e-03,9.60e+00,
4.547300e-03,9.60e+00,
4.547400e-03,9.60e+00,
4.547500e-03,9.60e+00,
4.547600e-03,9.60e+00,
4.547700e-03,9.60e+00,
4.547800e-03,9.60e+00,
4.547900e-03,9.60e+00,
4.548000e-03,9.60e+00,
4.548100e-03,9.60e+00,
4.548200e-03,9.60e+00,
4.548300e-03,9.60e+00,
4.548400e-03,9.60e+00,
4.548500e-03,9.60e+00,
4.548600e-03,9.60e+00,
4.548700e-03,9.60e+00,
4.548800e-03,9.60e+00,
4.548900e-03,9.60e+00,
4.549000e-03,9.60e+00,
4.549100e-03,9.60e+00,
4.549200e-03,9.60e+00,
4.549300e-03,9.60e+00,
4.549400e-03,9.60e+00,
4.549500e-03,9.60e+00,
4.549600e-03,9.60e+00,
4.549700e-03,9.60e+00,
4.549800e-03,9.60e+00,
4.549900e-03,9.60e+00,
4.550000e-03,9.60e+00,
4.550100e-03,9.60e+00,
4.550200e-03,9.60e+00,
4.550300e-03,9.60e+00,
